@relation B.arff
@ATTRIBUTE D numeric
@ATTRIBUTE R1 numeric
@ATTRIBUTE Delta1 numeric
@ATTRIBUTE SCF numeric
@data 
0.5,25,62.5,2.1415
0.5,25,75,2.2075
0.5,25,87.5,2.34
0.5,25,100,2.6145
0.5,25,112.5,3.0595
0.5,25,118.75,3.2965
0.6,3,7.5,2.128
0.6,3,10.5,2.126
0.6,3,15,2.1244
0.6,3,18,2.124
0.6,3,21.9,2.1236
0.6,3,24,2.1232
0.6,3,30,2.1232
0.6,3,37.5,2.1228
0.6,3,45,2.1228
0.6,3,52.5,2.1228
0.6,3,55.5,2.1232
0.6,3,60,2.1236
0.6,3,67.5,2.124
0.6,3,82.5,2.1244
0.6,3,90,2.1248
0.6,3,97.5,2.1248
0.6,3,105,2.1252
0.6,3,112.5,2.1252
0.6,3,120,2.1256
0.6,3,135,2.1256
0.6,6,7.5,2.1276
0.6,6,10.5,2.124
0.6,6,15,2.1192
0.6,6,18,2.1176
0.6,6,21.9,2.1164
0.6,6,24,2.1156
0.6,6,30,2.1152
0.6,6,37.5,2.1152
0.6,6,45,2.116
0.6,6,52.5,2.1172
0.6,6,55.5,2.1184
0.6,6,60,2.1188
0.6,6,67.5,2.1196
0.6,6,82.5,2.12
0.6,6,90,2.1236
0.6,6,97.5,2.1244
0.6,6,105,2.1248
0.6,6,112.5,2.1248
0.6,6,120,2.1252
0.6,6,135,2.1256
0.6,9,7.5,2.1184
0.6,9,10.5,2.1084
0.6,9,15,2.106
0.6,9,18,2.1044
0.6,9,21.9,2.1024
0.6,9,24,2.102
0.6,9,30,2.1016
0.6,9,37.5,2.1024
0.6,12,7.5,2.096
0.6,12,10.5,2.088
0.6,12,15,2.0828
0.6,12,18,2.0816
0.6,12,21.9,2.0804
0.6,12,24,2.0808
0.6,12,30,2.0812
0.6,12,37.5,2.0844
0.6,12,45,2.0864
0.6,12,52.5,2.0904
0.6,12,55.5,2.0932
0.6,12,60,2.1024
0.6,12,67.5,2.1068
0.6,12,82.5,2.1156
0.6,12,90,2.1204
0.6,12,97.5,2.1224
0.6,12,105,2.124
0.6,12,112.5,2.1248
0.6,12,120,2.1252
0.6,12,135,2.1256
0.6,15,7.5,2.0576
0.6,15,10.5,2.0536
0.6,15,15,2.0484
0.6,15,18,2.0488
0.6,15,21.9,2.0492
0.6,15,24,2.0516
0.6,15,30,2.0544
0.6,15,37.5,2.0616
0.6,15,45,2.0628
0.6,15,52.5,2.0844
0.6,15,55.5,2.086
0.6,15,60,2.0924
0.6,15,67.5,2.1008
0.6,15,82.5,2.1104
0.6,15,90,2.1184
0.6,15,97.5,2.1192
0.6,15,105,2.1232
0.6,15,112.5,2.1248
0.6,15,120,2.126
0.6,15,135,2.1268
0.6,18,7.5,2.0012
0.6,18,10.5,2.0004
0.6,18,15,2
0.6,18,18,2.004
0.6,18,21.9,2.0076
0.6,18,24,2.0124
0.6,18,30,2.02
0.6,18,37.5,2.0344
0.6,21,7.5,1.9224
0.6,21,10.5,1.9284
0.6,21,15,1.9348
0.6,21,18,1.9408
0.6,21,21.9,1.954
0.6,21,24,1.966
0.6,21,30,1.9784
0.6,21,37.5,2.0024
0.6,21,45,2.02
0.6,21,52.5,2.044
0.6,21,55.5,2.0564
0.6,21,60,2.0704
0.6,21,67.5,2.0844
0.6,21,82.5,2.1064
0.6,21,90,2.1104
0.6,21,97.5,2.116
0.6,21,105,2.122
0.6,21,112.5,2.1468
0.6,21,120,2.1636
0.6,22.5,7.5,1.8728
0.6,22.5,10.5,1.8864
0.6,22.5,15,1.8948
0.6,22.5,18,1.9088
0.6,22.5,21.9,1.9216
0.6,22.5,24,1.9372
0.6,22.5,30,1.9544
0.6,22.5,37.5,1.984
0.6,24,7.5,1.816
0.6,24,10.5,1.844
0.6,24,15,1.8492
0.6,24,18,1.8692
0.6,24,21.9,1.8856
0.6,24,24,1.8876
0.6,24,30,1.928
0.6,24,37.5,1.9648
0.6,24,45,1.9664
0.6,24,52.5,2.0244
0.6,24,55.5,2.0392
0.6,24,60,2.066
0.6,24,67.5,2.074
0.6,24,82.5,2.0924
0.6,24,90,2.1104
0.6,24,97.5,2.1844
0.6,24,105,2.2104
0.6,24,112.5,2.3648
0.6,24,120,2.6344
0.6,25.5,7.5,1.7504
0.6,25.5,10.5,1.7864
0.6,25.5,15,1.7972
0.6,25.5,18,1.8144
0.6,25.5,21.9,1.8452
0.6,25.5,24,1.8768
0.6,25.5,30,1.8988
0.6,25.5,37.5,1.944
0.6,25.5,45,1.968
0.6,25.5,52.5,2.0128
0.6,25.5,55.5,2.03
0.6,25.5,60,2.0536
0.6,25.5,67.5,2.0688
0.6,25.5,82.5,2.0688
0.6,25.5,90,2.1728
0.6,25.5,97.5,2.212
0.6,25.5,105,2.484
0.6,25.5,112.5,2.696
0.6,27,7.5,1.6748
0.6,27,10.5,1.7068
0.6,27,15,1.738
0.6,27,18,1.7728
0.6,27,21.9,1.8
0.6,27,24,1.8304
0.6,27,30,1.8672
0.6,27,37.5,1.9216
0.6,27,45,1.9616
0.6,27,52.5,2.0064
0.6,27,55.5,2.052
0.6,27,60,2.0564
0.6,27,67.5,2.0628
0.6,27,82.5,2.1844
0.6,27,90,2.234
0.6,27,97.5,2.448
0.6,27,105,2.7624
0.6,30,7.5,1.9764
0.6,30,10.5,1.9808
0.6,30,15,1.9964
0.6,30,18,1.9988
0.6,30,21.9,2.008
0.6,30,24,2.0172
0.6,30,30,2.0232
0.6,30,37.5,2.0416
0.6,30,45,2.084
0.6,30,52.5,2.096
0.6,30,55.5,2.124
0.6,30,60,2.1392
0.6,30,67.5,2.268
0.6,30,82.5,2.4992
0.6,30,90,2.712
0.6,30,97.5,3.1892
